CMD: HCI_Inquiry                                                 OPCODE = 0x(0x0401 )
CMD: HCI_Inquiry_Cancel                                          OPCODE = 0x(0x0402 )
CMD: HCI_Periodic_Inquiry_Mode                                   OPCODE = 0x(0x0403 )
CMD: HCI_Exit_Periodic_Inquiry_Mode                              OPCODE = 0x(0x0404 )
CMD: HCI_Create_Connection                                       OPCODE = 0x(0x0405 )
CMD: HCI_Disconnect                                              OPCODE = 0x(0x0406 )
CMD: HCI_Create_Connection_Cancel                                OPCODE = 0x(0x0408 )
CMD: HCI_Accept_Connection_Request                               OPCODE = 0x(0x0409 )
CMD: HCI_Reject_Connection_Request                               OPCODE = 0x(0x040A )
CMD: HCI_Link_Key_Request_Reply                                  OPCODE = 0x(0x040B )
CMD: HCI_Link_Key_Request_Negative_Reply                         OPCODE = 0x(0x040C )
CMD: HCI_PIN_Code_Request_Reply                                  OPCODE = 0x(0x040D )
CMD: HCI_PIN_Code_Request_Negative_Reply                         OPCODE = 0x(0x040E )
CMD: HCI_Change_Connection_Packet_Type                           OPCODE = 0x(0x040F )
CMD: HCI_Authentication_Requested                                OPCODE = 0x(0x0411 )
CMD: HCI_Set_Connection_Encryption                               OPCODE = 0x(0x0413 )
CMD: HCI_Change_Connection_Link_Key                              OPCODE = 0x(0x0415 )
CMD: HCI_Master_Link_Key                                         OPCODE = 0x(0x0417 )
CMD: HCI_Remote_Name_Request                                     OPCODE = 0x(0x0419 )
CMD: HCI_Remote_Name_Request_Cancel                              OPCODE = 0x(0x041A )
CMD: HCI_Read_Remote_Supported_Features                          OPCODE = 0x(0x041B )
CMD: HCI_Read_Remote_Extended_Features                           OPCODE = 0x(0x041C )
CMD: HCI_Read_Remote_Version_Information                         OPCODE = 0x(0x041D )
CMD: HCI_Read_Clock_Offset                                       OPCODE = 0x(0x041F )
CMD: HCI_Read_LMP_Handle                                         OPCODE = 0x(0x0420 )
CMD: HCI_Setup_Synchronous_Connection                            OPCODE = 0x(0x0428 )
CMD: HCI_Accept_Synchronous_Connection_Request                   OPCODE = 0x(0x0429 )
CMD: HCI_Reject_Synchronous_Connection_Request                   OPCODE = 0x(0x042A )
CMD: HCI_IO_Capability_Request_Reply                             OPCODE = 0x(0x042B )
